Vehicle Class,Year,S.No,Vehicle_Class,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,TOTAL
MOTOR CAR,2023,40,MOTOR CAR,"3,29,801","2,78,621","3,18,820","2,68,772","2,84,064","2,78,320","2,64,971","2,93,766","3,11,456","3,36,355","3,49,679","2,77,120","35,91,745"
OMNI BUS (PRIVATE USE),2023,47,OMNI BUS (PRIVATE USE),164,221,271,214,351,"1,309",684,684,562,692,597,416,"6,165"
PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),2023,50,PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),24,46,94,43,111,412,314,305,182,166,158,131,"1,986"
QUADRICYCLE (PRIVATE),2023,52,QUADRICYCLE (PRIVATE),5,0,3,3,7,3,4,2,2,5,0,2,36
ADAPTED VEHICLE,2024,1,ADAPTED VEHICLE,"1,151","2,826","3,482","1,636","1,186","1,068","1,893","1,003","14,245"
MOTOR CAB,2024,38,MOTOR CAB,"28,218","23,722","25,780","24,187","24,455","22,379","25,569","17,670","1,91,980"
MOTOR CAR,2024,39,MOTOR CAR,"3,70,845","3,08,428","2,96,918","3,15,125","2,82,300","2,63,259","2,96,242","1,97,970","23,31,087"
OMNI BUS (PRIVATE USE),2024,46,OMNI BUS (PRIVATE USE),586,586,584,524,539,445,581,392,"4,237"
PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),2024,49,PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),161,148,204,193,139,134,135,58,"1,172"
QUADRICYCLE (PRIVATE),2024,51,QUADRICYCLE (PRIVATE),5,3,6,3,0,3,4,2,26
